employeeid,firstname,middleinitial,lastname,birthdate,gender,cityid,hiredate
1,Nicole,T,Fuller,1981-03-07,F,80,2011-06-20
2,Christine,W,Palmer,1968-01-25,F,4,2011-04-27
3,Pablo,Y,Cline,1963-02-09,M,70,2012-03-30
4,Darnell,O,Nielsen,1989-02-06,M,39,2014-03-06
5,Desiree,L,Stuart,1963-05-03,F,23,2014-11-16
6,Holly,E,Collins,1987-01-13,M,65,2013-06-22
7,Chadwick,P,Cook,1970-05-02,M,39,2016-07-10
8,Julie,E,Dyer,1956-12-13,M,18,2014-10-14
9,Daphne,X,King,1956-05-02,F,39,2013-04-17
10,Jean,P,Vang,1963-12-30,M,9,2012-07-23
11,Sonya,E,Dickson,1976-01-14,F,12,2016-08-10
12,Lindsay,M,Chen,1951-09-03,F,58,2011-11-03
13,Katina,Y,Marks,1963-04-18,M,68,2011-12-12
14,Wendi,G,Buckley,1961-09-05,M,32,2016-07-11
15,Kari,D,Finley,1972-02-17,M,92,2014-07-13
16,Chadwick,U,Walton,1951-07-07,M,28,2017-02-10
17,Seth,D,Franco,1989-08-29,M,80,2010-07-11
18,Warren,C,Bartlett,1964-03-09,M,58,2010-02-22
19,Bernard,L,Moody,1970-03-22,M,54,2013-11-12
20,Shelby,P,Riddle,1964-06-13,M,14,2013-03-24
21,Devon,D,Brewer,1966-04-25,M,65,2016-01-24
22,Tonia,O,Mc Millan,1952-03-02,F,53,2015-11-25
23,Janet,K,Flowers,1979-03-01,F,7,2010-05-12
