ProductID,ProductName,Price,CategoryID,Class,ModifyDate,Resistant,IsAllergic,VitalityDays
1,Flour - Whole Wheat,74.2988,3,Medium,16-02-2018,Durable,Unknown,0
2,Cookie Chocolate Chip With,91.2329,3,Medium,12-02-2017,Unknown,Unknown,0
3,Onions - Cippolini,9.1379,9,Medium,15-03-2018,Weak,FALSE,111
4,"Sauce - Gravy, Au Jus, Mix",54.3055,9,Medium,16-07-2017,Durable,Unknown,0
5,Artichokes - Jerusalem,65.4771,2,Low,16-08-2017,Durable,TRUE,27
6,Wine - Magnotta - Cab Sauv,79.7184,8,High,25-05-2017,Unknown,Unknown,0
7,Table Cloth - 53x69 Colour,31.837,9,Medium,24-02-2017,Durable,FALSE,0
8,Halibut - Steaks,89.8573,5,Medium,24-03-2018,Unknown,TRUE,108
9,Rabbit - Whole,84.4219,11,Medium,17-06-2017,Durable,Unknown,0
10,Scampi Tail,95.0957,4,Low,30-07-2017,Weak,TRUE,105
11,Garbage Bags - Clear,6.2949,9,Low,05-01-2017,Durable,TRUE,67
12,Ezy Change Mophandle,49.3356,4,Medium,01-11-2017,Durable,TRUE,0
13,"Water, Tap",28.2232,11,Low,16-01-2017,Durable,FALSE,69
14,Beef - Top Sirloin,3.3324,7,Medium,26-02-2017,Durable,TRUE,0
15,"Spoon - Soup, Plastic",32.442,1,Low,03-03-2017,Weak,TRUE,0
16,Kellogs Special K Cereal,54.7246,2,Low,23-01-2017,Durable,TRUE,0
17,"Wine - White, Mosel Gold",43.9182,10,Medium,01-03-2017,Unknown,Unknown,0
18,"Lamb - Whole, Fresh",23.3966,10,Medium,19-12-2017,Unknown,FALSE,0
19,Tea - Earl Grey,22.5614,3,Medium,14-06-2017,Weak,TRUE,94
20,Chocolate - Feathers,85.9011,3,Low,21-07-2017,Durable,TRUE,0
21,Kiwi,46.7252,7,High,09-05-2018,Durable,Unknown,0
22,Rice - Jasmine Sented,27.8955,6,Medium,09-05-2017,Weak,Unknown,48
23,Crab - Imitation Flakes,79.0184,11,Medium,19-08-2017,Durable,TRUE,0
24,"Beer - Alexander Kieths, Pale Ale",89.037,3,Medium,23-05-2017,Durable,TRUE,65
25,Soupcontfoam16oz 116con,80.7666,10,High,09-04-2017,Durable,TRUE,0
26,Squid U5 - Thailand,33.7821,11,Medium,26-03-2018,Weak,FALSE,10
27,Chocolate - Compound Coating,17.1724,1,Medium,29-10-2017,Unknown,Unknown,86
28,Sobe - Tropical Energy,12.3153,9,High,25-10-2017,Durable,TRUE,0
29,Spinach - Baby,33.5883,7,Low,06-08-2017,Durable,TRUE,50
30,"Cheese - Brie, Triple Creme",67.899,6,Low,21-03-2018,Weak,Unknown,72
31,Yeast Dry - Fermipan,73.9851,2,Medium,17-04-2017,Durable,FALSE,0
32,Lettuce - Treviso,96.4127,3,High,09-01-2017,Durable,TRUE,0
33,Beans - Wax,45.5551,10,Medium,01-02-2017,Weak,TRUE,0
34,Mustard Prepared,43.3463,6,Medium,21-09-2017,Weak,Unknown,7
35,"Water - Mineral, Natural",15.7233,6,Low,01-10-2017,Durable,TRUE,97
36,Table Cloth 54x72 White,69.2574,9,Low,04-03-2018,Durable,TRUE,0
37,"Nut - Pistachio, Shelled",80.3171,7,Low,27-02-2017,Unknown,FALSE,0
38,Sage - Ground,81.6579,6,High,26-09-2017,Weak,FALSE,0
39,Dried Figs,75.2059,11,Medium,04-08-2017,Weak,FALSE,120
