EmployeeID,FirstName,MiddleInitial,LastName,BirthDate,Gender,CityID,HireDate
1,Nicole,T,Fuller,07-03-1981,F,80,20-06-2011
2,Christine,W,Palmer,25-01-1968,F,4,27-04-2011
3,Pablo,Y,Cline,09-02-1963,M,70,30-03-2012
4,Darnell,O,Nielsen,06-02-1989,M,39,06-03-2014
5,Desiree,L,Stuart,03-05-1963,F,23,16-11-2014
6,Holly,E,Collins,13-01-1987,M,65,22-06-2013
7,Chadwick,P,Cook,02-05-1970,M,39,10-07-2016
8,Julie,E,Dyer,13-12-1956,M,18,14-10-2014
9,Daphne,X,King,02-05-1956,F,39,17-04-2013
10,Jean,P,Vang,30-12-1963,M,9,23-07-2012
11,Sonya,E,Dickson,14-01-1976,F,12,10-08-2016
12,Lindsay,M,Chen,03-09-1951,F,58,03-11-2011
13,Katina,Y,Marks,18-04-1963,M,68,12-12-2011
14,Wendi,G,Buckley,05-09-1961,M,32,11-07-2016
15,Kari,D,Finley,17-02-1972,M,92,13-07-2014
16,Chadwick,U,Walton,07-07-1951,M,28,10-02-2017
17,Seth,D,Franco,29-08-1989,M,80,11-07-2010
18,Warren,C,Bartlett,09-03-1964,M,58,22-02-2010
19,Bernard,L,Moody,22-03-1970,M,54,12-11-2013
20,Shelby,P,Riddle,13-06-1964,M,14,24-03-2013
21,Devon,D,Brewer,25-04-1966,M,65,24-01-2016
22,Tonia,O,Mc Millan,02-03-1952,F,53,25-11-2015
23,Janet,K,Flowers,01-03-1979,F,7,12-05-2010
